2026-01-15 16:25:43,560 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Configure stats pid to 15018
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Loading settings from /home/zixiaoy/.config/wandb/settings
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Loading settings from /mnt/sevenT/zixiaoy/code/Learn_VLM/Project/3DThinker/3dthinker/stage1/wandb/settings
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'mode': 'offline'}
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': 'offline', '_disable_service': None}
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Project/3DThinker/3dthinker/stage1/src/main.py', 'program_abspath': '/mnt/sevenT/zixiaoy/code/Learn_VLM/Project/3DThinker/3dthinker/stage1/src/main.py', 'program': '/mnt/sevenT/zixiaoy/code/Learn_VLM/Project/3DThinker/3dthinker/stage1/src/main.py'}
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_init.py:_log_setup():532] Logging user logs to /mnt/sevenT/zixiaoy/code/Learn_VLM/Project/3DThinker/3dthinker/stage1/wandb/offline-run-20260115_162543-vl9ea2gb/logs/debug.log
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_init.py:_log_setup():533] Logging internal logs to /mnt/sevenT/zixiaoy/code/Learn_VLM/Project/3DThinker/3dthinker/stage1/wandb/offline-run-20260115_162543-vl9ea2gb/logs/debug-internal.log
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_init.py:init():617] calling init triggers
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'model': '/mnt/sevenT/zixiaoy/checkpoints/Qwen/Qwen2.5-VL-3B-Instruct', 'epochs': 10, 'task': 'mindcube', 'latent_size': 12, 'stage': 'stage1', 'data_path': '/mnt/sevenT/zixiaoy/code/Learn_VLM/Project/3DThinker/data/example.jsonl', 'save_model_path': '../../models/3DThinker-S1-Qwen2.5-VL-3B_mlp6_lr1e-4_latent12', 'learning_rate': 1e-05, 'per_device_train_batch_size': 1, 'gradient_accumulation_steps': 1}
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_init.py:init():667] starting backend
2026-01-15 16:25:43,561 INFO    MainThread:15018 [wandb_init.py:init():671] sending inform_init request
2026-01-15 16:25:43,564 INFO    MainThread:15018 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-01-15 16:25:43,564 INFO    MainThread:15018 [wandb_init.py:init():684] backend started and connected
2026-01-15 16:25:43,573 INFO    MainThread:15018 [wandb_init.py:init():779] updated telemetry
2026-01-15 16:25:43,585 INFO    MainThread:15018 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2026-01-15 16:25:43,666 INFO    MainThread:15018 [wandb_init.py:init():863] starting run threads in backend
2026-01-15 16:25:44,055 INFO    MainThread:15018 [wandb_run.py:_console_start():2465] atexit reg
2026-01-15 16:25:44,056 INFO    MainThread:15018 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2026-01-15 16:25:44,056 INFO    MainThread:15018 [wandb_run.py:_redirect():2378] Wrapping output streams.
2026-01-15 16:25:44,056 INFO    MainThread:15018 [wandb_run.py:_redirect():2403] Redirects installed.
2026-01-15 16:25:44,062 INFO    MainThread:15018 [wandb_init.py:init():907] run started, returning control to user process
2026-01-15 16:25:44,132 WARNING MsgRouterThr:15018 [router.py:message_loop():77] message_loop has been closed
